player_id,first_name,last_name,birthdate,school,country,last_affiliation,height,weight,jersey_num,position,team_id,from_year,to_year
76001,Alaa,Abdelnaby,1968-06-24 00:00:00,Duke,USA,Duke/USA,6-10,240.0,30,Forward,1610612757,1990.0,1994.0
76003,Kareem,Abdul-Jabbar,1947-04-16 00:00:00,UCLA,USA,UCLA/USA,7-2,225.0,33,Center,1610612747,1969.0,1988.0
1505,Tariq,Abdul-Wahad,1974-11-03 00:00:00,San Jose State,France,San Jose State/France,6-6,235.0,9,Forward-Guard,1610612758,1997.0,2003.0
949,Shareef,Abdur-Rahim,1976-12-11 00:00:00,California,USA,California/USA,6-9,245.0,3,Forward,1610612763,1996.0,2007.0
76005,Tom,Abernethy,1954-05-06 00:00:00,Indiana,USA,Indiana/USA,6-7,220.0,5,Forward,1610612744,1976.0,1980.0
76006,Forest,Able,1932-07-27 00:00:00,Western Kentucky,USA,Western Kentucky/USA,6-3,180.0,6,Guard,1610612755,1956.0,1956.0
76007,John,Abramovic,1919-02-09 00:00:00,Salem,USA,Salem/USA,6-3,195.0,,Forward,1610610031,1946.0,1947.0
203518,Alex,Abrines,1993-08-01 00:00:00,FC Barcelona,Spain,FC Barcelona/Spain,6-6,200.0,,Guard,0,2016.0,2018.0
1630173,Precious,Achiuwa,1999-09-19 00:00:00,Memphis,Nigeria,Memphis/Nigeria,6-8,225.0,5,Forward,1610612761,2020.0,2023.0
101165,Alex,Acker,1983-01-21 00:00:00,Pepperdine,USA,Pepperdine/USA,6-5,185.0,3,Guard,1610612746,2005.0,2008.0
76008,Donald,Ackerman,1930-09-04 00:00:00,Long Island-Brooklyn,USA,Long Island-Brooklyn/USA,6-0,183.0,,Guard,1610612752,1953.0,1953.0
76009,Mark,Acres,1962-11-15 00:00:00,Oral Roberts,USA,Oral Roberts/USA,6-11,220.0,42,Center,1610612753,1987.0,1992.0
76010,Charles,Acton,1942-01-11 00:00:00,Hillsdale,USA,Hillsdale/USA,6-6,210.0,24,Forward,1610612745,1967.0,1967.0
203112,Quincy,Acy,1990-10-06 00:00:00,Baylor,USA,Baylor/USA,6-7,240.0,,Forward,0,2012.0,2018.0
76011,Alvan,Adams,1954-07-19 00:00:00,Oklahoma,USA,Oklahoma/USA,6-9,210.0,33,Center,1610612756,1975.0,1987.0
76012,Don,Adams,1947-11-27 00:00:00,Northwestern,USA,Northwestern/USA,6-7,210.0,10,Forward,1610612765,1970.0,1976.0
200801,Hassan,Adams,1984-06-20 00:00:00,Arizona,USA,Arizona/USA,6-4,220.0,,Forward,0,2006.0,2008.0
1629121,Jaylen,Adams,1996-05-04 00:00:00,St. Bonaventure,USA,St. Bonaventure/USA,6-0,225.0,,Guard,0,2018.0,2020.0
203919,Jordan,Adams,1994-07-08 00:00:00,UCLA,USA,UCLA/USA,6-5,209.0,3,Guard,1610612763,2014.0,2015.0
149,Michael,Adams,1963-01-19 00:00:00,Boston College,USA,Boston College/USA,5-10,165.0,23,Guard,1610612743,1985.0,1995.0
203500,Steven,Adams,1993-07-20 00:00:00,Pittsburgh,New Zealand,Pittsburgh/New Zealand,6-11,265.0,4,Center,1610612763,2013.0,2023.0
912,Rafael,Addison,1964-07-22 00:00:00,Syracuse,USA,Syracuse/USA,6-8,241.0,7,Forward,1610612751,1986.0,1996.0
1628389,Bam,Adebayo,1997-07-18 00:00:00,Kentucky,USA,Kentucky/USA,6-9,255.0,13,Center-Forward,1610612748,2017.0,2023.0
1629061,Deng,Adel,1997-02-01 00:00:00,Louisville,South Sudan,Louisville/South Sudan,6-7,200.0,32,Forward,1610612739,2018.0,2018.0
76015,Rick,Adelman,1946-06-16 00:00:00,Loyola-Marymount,USA,Loyola-Marymount/USA,6-2,175.0,5,Guard,1610612757,1968.0,1974.0
202399,Jeff,Adrien,1986-02-10 00:00:00,Connecticut,USA,Connecticut/USA,,,,,0,2010.0,2014.0
201167,Arron,Afflalo,1985-10-15 00:00:00,UCLA,USA,UCLA/USA,6-5,210.0,4,Guard,1610612743,2007.0,2017.0
1630534,Ochai,Agbaji,2000-04-20 00:00:00,Kansas,USA,Kansas/USA,6-5,215.0,30,Guard,1610612762,2022.0,2023.0
200772,Maurice,Ager,1984-02-09 00:00:00,Michigan State,USA,Michigan State/USA,6-5,202.0,,Forward-Guard,0,2006.0,2010.0
76016,Mark,Aguirre,1959-12-10 00:00:00,DePaul,USA,DePaul/USA,6-6,232.0,7,Forward,1610612742,1981.0,1993.0
201336,Blake,Ahearn,1984-05-27 00:00:00,Missouri State,USA,Missouri State/USA,6-2,190.0,2,Guard,1610612748,2007.0,2011.0
201582,Alexis,Ajinca,1988-05-06 00:00:00,Hyeres-Toulon,France,Hyeres-Toulon/France,7-2,248.0,42,Center,1610612740,2008.0,2017.0
76018,Henry,Akin,1944-07-31 00:00:00,Morehead State,USA,Morehead State/USA,6-10,225.0,10,Center,1610612752,1966.0,1967.0
203006,Josh,Akognon,1986-02-10 00:00:00,California State-Fullerton,USA,California State-Fullerton/USA,5-11,185.0,10,Guard,1610612742,2012.0,2012.0
1629152,DeVaughn,Akoon-Purcell,1993-06-05 00:00:00,Illinois State,Trinidad and Tobago,Illinois State/Trinidad and Tobago,6-6,200.0,,Guard-Forward,0,2018.0,2018.0
202374,Solomon,Alabi,1988-03-21 00:00:00,Florida State,Nigeria,Florida State/Nigeria,7-1,252.0,50,Center,1610612761,2010.0,2011.0
76019,Mark,Alarie,1963-12-11 00:00:00,Duke,USA,Duke/USA,6-8,217.0,31,Forward,1610612764,1986.0,1990.0
76020,Gary,Alcorn,1936-10-08 00:00:00,Fresno State,USA,Fresno State/USA,6-9,225.0,24,Center,1610612765,1959.0,1960.0
1630583,Santi,Aldama,2001-01-10 00:00:00,Loyola-Maryland,Spain,Loyola-Maryland/Spain,7-0,215.0,7,Forward-Center,1610612763,2021.0,2023.0
203128,Furkan,Aldemir,1991-08-09 00:00:00,Galatasaray,Turkey,Galatasaray/Turkey,6-10,240.0,19,Forward-Center,1610612755,2014.0,2014.0
202332,Cole,Aldrich,1988-10-31 00:00:00,Kansas,USA,Kansas/USA,6-11,253.0,45,Center,1610612752,2010.0,2017.0
200746,LaMarcus,Aldridge,1985-07-19 00:00:00,University of Texas at Austin,USA,Texas-Austin/USA,6-11,250.0,21,Center-Forward,1610612751,2006.0,2021.0
1626146,Cliff,Alexander,1995-11-16 00:00:00,Kansas,USA,Kansas/USA,6-8,240.0,34,Forward,1610612757,2015.0,2015.0
724,Cory,Alexander,1973-06-22 00:00:00,Virginia,USA,Virginia/USA,6-1,190.0,12,Guard,1610612759,1995.0,2004.0
201570,Joe,Alexander,1986-12-26 00:00:00,West Virginia,USA,West Virginia/USA,6-8,230.0,20,Forward,1610612749,2008.0,2009.0
1629734,Kyle,Alexander,1996-10-21 00:00:00,Tennessee,Canada,Tennessee/Canada,6-10,216.0,17,Forward-Center,1610612748,2019.0,2019.0
1630234,Ty-Shon,Alexander,1998-07-16 00:00:00,Creighton,USA,Creighton/USA,6-3,195.0,0,Guard,1610612756,2020.0,2020.0
2349,Victor,Alexander,1969-08-31 00:00:00,Iowa State,USA,Iowa State/USA,6-10,265.0,9,Forward,1610612744,1991.0,2001.0
1629638,Nickeil,Alexander-Walker,1998-09-02 00:00:00,Virginia Tech,Canada,Virginia Tech/Canada,6-5,205.0,9,Guard,1610612750,2019.0,2023.0
76024,Steve,Alford,1964-11-23 00:00:00,Indiana,USA,Indiana/USA,6-2,183.0,4,Guard,1610612742,1987.0,1990.0
1628959,Rawle,Alkins,1997-10-29 00:00:00,Arizona,USA,Arizona/USA,6-5,225.0,20,Guard,1610612741,2018.0,2018.0
76028,Bob,Allen,1946-07-17 00:00:00,Marshall,USA,Marshall/USA,6-9,205.0,50,Forward,1610612744,1968.0,1968.0
1628960,Grayson,Allen,1995-10-08 00:00:00,Duke,USA,Duke/USA,6-4,198.0,12,Guard,1610612749,2018.0,2023.0
1628386,Jarrett,Allen,1998-04-21 00:00:00,Texas,USA,Texas/USA,6-9,243.0,31,Center,1610612739,2017.0,2023.0
1628443,Kadeem,Allen,1993-01-15 00:00:00,Arizona,USA,Arizona/USA,6-1,200.0,,Guard,0,2017.0,2019.0
202730,Lavoy,Allen,1989-02-04 00:00:00,Temple,USA,Temple/USA,6-9,260.0,5,Forward-Center,1610612754,2011.0,2016.0
76027,Lucius,Allen,1947-09-26 00:00:00,UCLA,USA,UCLA/USA,6-2,175.0,42,Guard,1610612749,1969.0,1978.0
2124,Malik,Allen,1978-06-27 00:00:00,Villanova,USA,Villanova/USA,6-10,255.0,35,Forward,1610612748,2001.0,2010.0
2754,Tony,Allen,1982-01-11 00:00:00,Oklahoma State,USA,Oklahoma State/USA,6-4,213.0,,Guard-Forward,0,2004.0,2017.0
76029,Odis,Allison,1949-10-02 00:00:00,UNLV,USA,UNLV/USA,6-6,195.0,22,Forward,1610612744,1971.0,1971.0
200984,Lance,Allred,1981-02-02 00:00:00,Weber State,USA,Weber State/USA,6-11,250.0,41,Center,1610612739,2007.0,2007.0
76030,Darrell,Allums,1958-09-12 00:00:00,UCLA,USA,UCLA/USA,6-8,220.0,32,Forward,1610612742,1980.0,1980.0
201165,Morris,Almond,1985-02-02 00:00:00,Rice,USA,Rice/USA,6-6,225.0,21,Guard,1610612762,2007.0,2011.0
308,Derrick,Alston,1972-08-20 00:00:00,Duquesne,USA,Duquesne/USA,6-11,225.0,,Center,0,1994.0,1996.0
1747,Rafer,Alston,1976-07-24 00:00:00,Fresno State,USA,Fresno State/USA,6-2,175.0,11,Guard,1610612745,1999.0,2009.0
1824,Peter,Aluma,1973-04-26 00:00:00,Liberty,USA,Liberty/USA,6-10,260.0,,Center,0,1998.0,1998.0
1630631,Jose,Alvarado,1998-04-12 00:00:00,Georgia Tech,USA,Georgia Tech/USA,6-0,179.0,15,Guard,1610612740,2021.0,2023.0
680,John,Amaechi,1970-11-26 00:00:00,Penn State,United Kingdom,Penn State/United Kingdom,6-10,270.0,13,Forward-Center,1610612753,1995.0,2002.0
200811,Lou,Amundson,1982-12-07 00:00:00,UNLV,USA,UNLV/USA,6-9,220.0,17,Forward,1610612756,2006.0,2015.0
2365,Chris,Andersen,1978-07-07 00:00:00,Blinn J.C.,USA,Blinn J.C./USA,6-10,245.0,,Forward-Center,0,2001.0,2016.0
2431,David,Andersen,1980-06-23 00:00:00,FC Barcelona,Australia,FC Barcelona/Australia,,,,,0,2009.0,2017.0
101187,Alan,Anderson,1982-10-16 00:00:00,Michigan State,USA,Michigan State/USA,6-6,220.0,9,Forward-Guard,1610612751,2005.0,2016.0
202079,Antonio,Anderson,1985-06-05 00:00:00,Memphis,USA,Memphis/USA,6-6,215.0,,Guard,0,2009.0,2009.0
76036,Daniel,Anderson,1951-01-01 00:00:00,Southern California,USA,Southern California/USA,6-2,185.0,33,Guard,1610612757,1974.0,1975.0
1507,Derek,Anderson,1974-07-18 00:00:00,Kentucky,USA,Kentucky/USA,6-5,195.0,1,Guard,1610612757,1997.0,2007.0
76037,Dwight,Anderson,1960-12-28 00:00:00,Southern California,USA,Southern California/USA,6-3,185.0,20,Guard,1610612743,1982.0,1982.0
944,Eric,Anderson,1970-05-26 00:00:00,Indiana,USA,Indiana/USA,6-9,220.0,42,Forward,1610612752,1992.0,1993.0
246,Greg,Anderson,1964-06-22 00:00:00,Houston,USA,Houston/USA,6-10,250.0,0,Center-Forward,1610612759,1987.0,1997.0
202341,James,Anderson,1989-03-25 00:00:00,Oklahoma State,USA,Oklahoma State/USA,6-6,213.0,5,Guard-Forward,1610612759,2010.0,2015.0
76040,Jerome,Anderson,1953-10-09 00:00:00,West Virginia,USA,West Virginia/USA,6-5,195.0,21-23,Guard,1610612754,1975.0,1976.0
1626147,Justin,Anderson,1993-11-19 00:00:00,Virginia,USA,Virginia/USA,6-5,231.0,,Forward-Guard,0,2015.0,2021.0
72,Kenny,Anderson,1970-10-09 00:00:00,Georgia Tech,USA,Georgia Tech/USA,6-1,168.0,,Guard,0,1991.0,2004.0
76041,Kim,Anderson,1955-05-12 00:00:00,Missouri,USA,Missouri/USA,6-7,200.0,42,Forward,1610612757,1978.0,1978.0
203937,Kyle,Anderson,1993-09-20 00:00:00,UCLA,USA,UCLA/USA,6-9,230.0,5,Forward-Guard,1610612750,2014.0,2023.0
76042,Michael,Anderson,1966-03-23 00:00:00,Drexel,USA,Drexel/USA,5-11,184.0,10,Guard,1610612759,1988.0,1988.0
76043,Mitchell,Anderson,1960-09-23 00:00:00,Bradley,USA,Bradley/USA,6-8,195.0,11,Forward,1610612762,1982.0,1984.0
98,Nick,Anderson,1968-01-20 00:00:00,Illinois,USA,Illinois/USA,6-6,228.0,5,Forward-Guard,1610612753,1989.0,2002.0
76045,Richard,Anderson,1960-11-19 00:00:00,California-Santa Barbara,USA,California-Santa Barbara/USA,6-10,240.0,35,Forward,1610612757,1982.0,1989.0
76046,Ron,Anderson,1958-10-15 00:00:00,Fresno State,USA,Fresno State/USA,6-7,215.0,35,Forward,1610612755,1984.0,1993.0
201583,Ryan,Anderson,1988-05-06 00:00:00,California,USA,California/USA,6-9,240.0,,Forward,0,2008.0,2019.0
1000,Shandon,Anderson,1973-12-31 00:00:00,Georgia,USA,Georgia/USA,6-6,215.0,49,Guard-Forward,1610612752,1996.0,2005.0
335,Willie,Anderson,1967-01-08 00:00:00,Georgia,USA,Georgia/USA,6-8,200.0,35,Guard-Forward,1610612759,1988.0,1996.0
101149,Martynas,Andriuskevicius,1986-03-12 00:00:00,Zalgiris,Lithuania,Zalgiris/Lithuania,7-2,240.0,15,Center,1610612739,2005.0,2006.0
76049,Don,Anielak,1930-11-01 00:00:00,Missouri State,USA,Missouri State/USA,6-7,190.0,12,Forward,1610612752,1954.0,1954.0
1628387,Ike,Anigbogu,1998-10-16 00:00:00,UCLA,USA,UCLA/USA,6-10,250.0,,Center,0,2017.0,2018.0
76050,Michael,Ansley,1967-02-08 00:00:00,Alabama,USA,Alabama/USA,6-7,225.0,54,Forward,1610612753,1989.0,1991.0
1512,Chris,Anstey,1975-01-01 00:00:00,South East Melbourne,Australia,South East Melbourne/Australia,7-0,249.0,22,Center,1610612742,1997.0,1999.0
203507,Giannis,Antetokounmpo,1994-12-06 00:00:00,Filathlitikos,Greece,Filathlitikos/Greece,7-0,243.0,34,Forward,1610612749,2013.0,2023.0
1628961,Kostas,Antetokounmpo,1997-11-20 00:00:00,University of Dayton,Greece,Dayton/Greece,6-10,200.0,37,Forward,1610612747,2018.0,2020.0
203648,Thanasis,Antetokounmpo,1992-07-18 00:00:00,Panathinaikos,Greece,Panathinaikos/Greece,6-7,219.0,43,Forward,1610612749,2015.0,2023.0
2546,Carmelo,Anthony,1984-05-29 00:00:00,Syracuse,USA,Syracuse/USA,6-7,238.0,7,Forward,1610612747,2003.0,2021.0
1630175,Cole,Anthony,2000-05-15 00:00:00,North Carolina,USA,North Carolina/USA,6-3,185.0,50,Guard,1610612753,2020.0,2023.0
