team_id,full_name,abbreviation,nickname,city,state,year_founded,arena,arena_capacity,owner,general_manager,head_coach
1610612737,Atlanta Hawks,ATL,Hawks,Atlanta,Atlanta,1949.0,State Farm Arena,18729.0,Tony Ressler,Travis Schlenk,Quin Snyder
1610612738,Boston Celtics,BOS,Celtics,Boston,Massachusetts,1946.0,,,,,
1610612739,Cleveland Cavaliers,CLE,Cavaliers,Cleveland,Ohio,1970.0,,,,,
1610612740,New Orleans Pelicans,NOP,Pelicans,New Orleans,Louisiana,2002.0,,,,,
1610612741,Chicago Bulls,CHI,Bulls,Chicago,Illinois,1966.0,United Center,21711.0,Michael Reinsdorf,Arturas Karnisovas,Billy Donovan
1610612742,Dallas Mavericks,DAL,Mavericks,Dallas,Texas,1980.0,American Airlines Center,19200.0,Mark Cuban,Nico Harrison,Jason Kidd
1610612743,Denver Nuggets,DEN,Nuggets,Denver,Colorado,1976.0,Ball Arena,,Stan Kroenke,Calvin Booth,Michael Malone
1610612744,Golden State Warriors,GSW,Warriors,Golden State,California,1946.0,Chase Center,,Joe Lacob,Bob Myers,Steve Kerr
1610612745,Houston Rockets,HOU,Rockets,Houston,Texas,1967.0,Toyota Center,18104.0,Tilman Fertitta,Rafael Stone,Ime Udoka
1610612746,Los Angeles Clippers,LAC,Clippers,Los Angeles,California,1970.0,Crypto.com Arena,19060.0,Steve Ballmer,Michael Winger,Tyronn Lue
1610612747,Los Angeles Lakers,LAL,Lakers,Los Angeles,California,1948.0,Crypto.com Arena,19060.0,Jeanie Buss,Rob Pelinka,Darvin Ham
1610612748,Miami Heat,MIA,Heat,Miami,Florida,1988.0,Kaseya Center,19600.0,Micky Arison,Pat Riley,Erik Spoelstra
1610612749,Milwaukee Bucks,MIL,Bucks,Milwaukee,Wisconsin,1968.0,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Adrian Griffin
1610612750,Minnesota Timberwolves,MIN,Timberwolves,Minnesota,Minnesota,1989.0,Target Center,19356.0,Glen Taylor,Tim Connelly,Chris Finch
1610612751,Brooklyn Nets,BKN,Nets,Brooklyn,New York,1976.0,Barclays Center,,Joe Tsai,Sean Marks,Jacque Vaughn
1610612752,New York Knicks,NYK,Knicks,New York,New York,1946.0,,,,,
1610612753,Orlando Magic,ORL,Magic,Orlando,Florida,1989.0,,,,,
1610612754,Indiana Pacers,IND,Pacers,Indiana,Indiana,1976.0,Gainbridge Fieldhouse ,18345.0,Herb Simon,Kevin Pritchard,Rick Carlisle
1610612755,Philadelphia 76ers,PHI,76ers,Philadelphia,Pennsylvania,1949.0,Wells Fargo Center,,Joshua Harris & David Blitzer,Elton Brand,Nick Nurse
1610612756,Phoenix Suns,PHX,Suns,Phoenix,Arizona,1968.0,Footprint Center,,Mat Ishbia,James Jones,Frank Vogel
1610612757,Portland Trail Blazers,POR,Trail Blazers,Portland,Oregon,1970.0,Moda Center,19980.0,Jody Allen,Joe Cronin,Chauncey Billups
1610612758,Sacramento Kings,SAC,Kings,Sacramento,California,1948.0,Golden 1 Center,17500.0,Vivek Ranadive,Monte McNair,Mike Brown
1610612759,San Antonio Spurs,SAS,Spurs,San Antonio,Texas,1976.0,AT&T Center,18694.0,Peter Holt,Brian Wright,Gregg Popovich
1610612760,Oklahoma City Thunder,OKC,Thunder,Oklahoma City,Oklahoma,1967.0,Paycom Center,,Clay Bennett,Sam Presti,Mark Daigneault
1610612761,Toronto Raptors,TOR,Raptors,Toronto,Ontario,1995.0,Scotiabank Arena,,Lawrence Tanenbaum,Masai Ujiri,
1610612762,Utah Jazz,UTA,Jazz,Utah,Utah,1974.0,Delta Center,,Ryan Smith,Justin Zanik,Will Hardy
1610612763,Memphis Grizzlies,MEM,Grizzlies,Memphis,Tennessee,1995.0,FedExForum,18119.0,Robert Pera,Zach Kleiman,Taylor Jenkins
1610612764,Washington Wizards,WAS,Wizards,Washington,District of Columbia,1961.0,Capital One Arena,20647.0,Ted Leonsis,Tommy Sheppard,Wes Unseld
1610612765,Detroit Pistons,DET,Pistons,Detroit,Michigan,1948.0,Little Caesars Arena,,Tom Gores,Ed Stefanski,Monty Williams
1610612766,Charlotte Hornets,CHA,Hornets,Charlotte,North Carolina,1988.0,Spectrum Center,19026.0,Michael Jordan,Mitch Kupchak,Steve Clifford
